"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45355389295.787;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****620";;;;;;;;"04.03.2024 09:20:35";"Programm/Schrittnummer Status des VM ist : 60*****620";
45355389297.2338;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****620";;;;;;;;"04.03.2024 09:20:35";"Programm/Schrittnummer Status des BM ist : 60*****620";
45355389563.7963;2;0;64;79;;;;;;;;;"04.03.2024 09:20:58";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389598.5185;2;1;64;79;;;;;;;;;"04.03.2024 09:21:01";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389609.9074;2;0;64;79;;;;;;;;;"04.03.2024 09:21:02";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389748.9815;2;1;64;79;;;;;;;;;"04.03.2024 09:21:14";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389771.9445;2;0;64;79;;;;;;;;;"04.03.2024 09:21:16";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389818.4259;2;1;64;79;;;;;;;;;"04.03.2024 09:21:20";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355389966.8981;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****630";;;;;;;;"04.03.2024 09:21:33";"Programm/Schrittnummer Status des VM ist : 60*****630";
45355389968.3449;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****630";;;;;;;;"04.03.2024 09:21:33";"Programm/Schrittnummer Status des BM ist : 60*****630";
45355390664.0625;2;3;64;79;;;;;;;;;"04.03.2024 09:22:33";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355390664.0625;2;6;64;75;;;;;;;;;"04.03.2024 09:22:33";"Warnung Zugspannung Einlauf Ist und Soll weichen zu weit voneinander ab";"AME"
45355391078.0093;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****631";;;;;;;;"04.03.2024 09:23:09";"Programm/Schrittnummer Status des VM ist : 60*****631";
45355391079.6412;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****631";;;;;;;;"04.03.2024 09:23:09";"Programm/Schrittnummer Status des BM ist : 60*****631";
45355391135.8796;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****632";;;;;;;;"04.03.2024 09:23:14";"Programm/Schrittnummer Status des VM ist : 60*****632";
45355391137.5116;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****632";;;;;;;;"04.03.2024 09:23:14";"Programm/Schrittnummer Status des BM ist : 60*****632";
45355392304.8611;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 6*****690";;;;;;;;"04.03.2024 09:24:55";"Programm/Schrittnummer Status des VM ist : 6*****690";
45355392304.8611;1;1;3;60000;"Anlagezustand-VM : Standby ";;;;;;;;"04.03.2024 09:24:55";"Anlagezustand-VM : Standby ";
45355392306.4931;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 6*****690";;;;;;;;"04.03.2024 09:24:55";"Programm/Schrittnummer Status des BM ist : 6*****690";
45355392306.4931;1;1;3;60000;"Anlagezustand-BM : Standby ";;;;;;;;"04.03.2024 09:24:55";"Anlagezustand-BM : Standby ";
45355393325.1852;2;2;64;79;;;;;;;;;"04.03.2024 09:26:23";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355398359.7338;2;1;64;58;;;;;;;;;"04.03.2024 09:33:38";"Warnung Bandspeicher Schutzband Einlauf";"AME"
45355398371.3079;2;0;64;58;;;;;;;;;"04.03.2024 09:33:39";"Warnung Bandspeicher Schutzband Einlauf";"AME"
45355398371.3079;2;1;66;38;;;;;;;;;"04.03.2024 09:33:39";"Fehler Bandspeicher Schutzband Einlauf";"AME"
45355398477.0949;2;3;66;38;;;;;;;;;"04.03.2024 09:33:48";"Fehler Bandspeicher Schutzband Einlauf";"AME"
45355398487.2222;2;2;66;38;;;;;;;;;"04.03.2024 09:33:49";"Fehler Bandspeicher Schutzband Einlauf";"AME"
45355407549.3634;2;1;64;79;;;;;;;;;"04.03.2024 09:46:52";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
45355414134.6528;2;0;64;79;;;;;;;;;"04.03.2024 09:56:21";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groß";"AME"
