"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45464145650.6366;2;1;64;78;;;;;;;;;"21.06.2024 03:29:44";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145662.2106;2;0;64;78;;;;;;;;;"21.06.2024 03:29:45";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145720.1389;2;1;64;78;;;;;;;;;"21.06.2024 03:29:50";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145743.2292;2;0;64;78;;;;;;;;;"21.06.2024 03:29:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145777.9282;2;1;64;78;;;;;;;;;"21.06.2024 03:29:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145812.7315;2;0;64;78;;;;;;;;;"21.06.2024 03:29:58";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145882.1644;2;1;64;78;;;;;;;;;"21.06.2024 03:30:04";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145905.2662;2;0;64;78;;;;;;;;;"21.06.2024 03:30:06";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145916.8866;2;1;64;78;;;;;;;;;"21.06.2024 03:30:07";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145928.5185;2;0;64;78;;;;;;;;;"21.06.2024 03:30:08";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145940.162;2;1;64;78;;;;;;;;;"21.06.2024 03:30:09";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145974.7106;2;0;64;78;;;;;;;;;"21.06.2024 03:30:12";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464145997.9051;2;1;64;78;;;;;;;;;"21.06.2024 03:30:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146009.4329;2;0;64;78;;;;;;;;;"21.06.2024 03:30:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146032.5694;2;1;64;78;;;;;;;;;"21.06.2024 03:30:17";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146136.794;2;0;64;78;;;;;;;;;"21.06.2024 03:30:26";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146194.7106;2;1;64;78;;;;;;;;;"21.06.2024 03:30:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146275.6713;2;0;64;78;;;;;;;;;"21.06.2024 03:30:38";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146379.7801;2;1;64;78;;;;;;;;;"21.06.2024 03:30:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146437.7083;2;0;64;78;;;;;;;;;"21.06.2024 03:30:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146460.8449;2;1;64;78;;;;;;;;;"21.06.2024 03:30:54";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146484.0046;2;0;64;78;;;;;;;;;"21.06.2024 03:30:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146507.0949;2;1;64;78;;;;;;;;;"21.06.2024 03:30:58";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146530.1736;2;0;64;78;;;;;;;;;"21.06.2024 03:31:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146553.4491;2;1;64;78;;;;;;;;;"21.06.2024 03:31:02";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146565.0116;2;0;64;78;;;;;;;;;"21.06.2024 03:31:03";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146588.1713;2;1;64;78;;;;;;;;;"21.06.2024 03:31:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146599.6759;2;0;64;78;;;;;;;;;"21.06.2024 03:31:06";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146703.7847;2;1;64;78;;;;;;;;;"21.06.2024 03:31:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146761.7708;2;0;64;78;;;;;;;;;"21.06.2024 03:31:20";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146831.2037;2;1;64;78;;;;;;;;;"21.06.2024 03:31:26";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146842.6736;2;0;64;78;;;;;;;;;"21.06.2024 03:31:27";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146888.9699;2;1;64;78;;;;;;;;;"21.06.2024 03:31:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146900.625;2;0;64;78;;;;;;;;;"21.06.2024 03:31:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464146981.6088;2;1;64;78;;;;;;;;;"21.06.2024 03:31:39";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147062.5694;2;0;64;78;;;;;;;;;"21.06.2024 03:31:46";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147097.3958;2;1;64;78;;;;;;;;;"21.06.2024 03:31:49";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147108.9236;2;0;64;78;;;;;;;;;"21.06.2024 03:31:50";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147120.544;2;1;64;78;;;;;;;;;"21.06.2024 03:31:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147132.1181;2;0;64;78;;;;;;;;;"21.06.2024 03:31:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147190.0579;2;1;64;78;;;;;;;;;"21.06.2024 03:31:57";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147236.2847;2;0;64;78;;;;;;;;;"21.06.2024 03:32:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147294.1667;2;1;64;78;;;;;;;;;"21.06.2024 03:32:06";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147305.7292;2;0;64;78;;;;;;;;;"21.06.2024 03:32:07";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147351.9676;2;1;64;78;;;;;;;;;"21.06.2024 03:32:11";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
