"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45428981223.2292;2;0;64;79;;;;;;;;;"16.05.2024 23:32:58";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981257.9514;2;1;64;79;;;;;;;;;"16.05.2024 23:33:01";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981327.3958;2;0;64;79;;;;;;;;;"16.05.2024 23:33:07";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981362.3032;2;1;64;79;;;;;;;;;"16.05.2024 23:33:10";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981454.7106;2;0;64;79;;;;;;;;;"16.05.2024 23:33:18";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981466.2847;2;1;64;79;;;;;;;;;"16.05.2024 23:33:19";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981593.5995;2;0;64;79;;;;;;;;;"16.05.2024 23:33:30";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981605.1736;2;1;64;79;;;;;;;;;"16.05.2024 23:33:31";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981755.6366;2;0;64;79;;;;;;;;;"16.05.2024 23:33:44";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981767.2106;2;1;64;79;;;;;;;;;"16.05.2024 23:33:45";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981778.7847;2;0;64;79;;;;;;;;;"16.05.2024 23:33:46";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428981790.3588;2;1;64;79;;;;;;;;;"16.05.2024 23:33:47";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982253.3218;2;0;64;79;;;;;;;;;"16.05.2024 23:34:27";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982288.044;2;1;64;79;;;;;;;;;"16.05.2024 23:34:30";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982392.2107;2;0;64;79;;;;;;;;;"16.05.2024 23:34:39";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982403.7847;2;1;64;79;;;;;;;;;"16.05.2024 23:34:40";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982415.3588;2;0;64;79;;;;;;;;;"16.05.2024 23:34:41";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982426.9329;2;1;64;79;;;;;;;;;"16.05.2024 23:34:42";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982507.9514;2;0;64;79;;;;;;;;;"16.05.2024 23:34:49";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982519.3403;2;1;64;79;;;;;;;;;"16.05.2024 23:34:50";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982658.2292;2;0;64;79;;;;;;;;;"16.05.2024 23:35:02";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982681.3773;2;1;64;79;;;;;;;;;"16.05.2024 23:35:04";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982693.1366;2;0;64;79;;;;;;;;;"16.05.2024 23:35:05";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982785.7292;2;1;64;79;;;;;;;;;"16.05.2024 23:35:13";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982797.3032;2;0;64;79;;;;;;;;;"16.05.2024 23:35:14";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982808.8773;2;1;64;79;;;;;;;;;"16.05.2024 23:35:15";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428982820.4514;2;0;64;79;;;;;;;;;"16.05.2024 23:35:16";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983017.2107;2;1;64;79;;;;;;;;;"16.05.2024 23:35:33";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983040.3588;2;0;64;79;;;;;;;;;"16.05.2024 23:35:35";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983109.8032;2;1;64;79;;;;;;;;;"16.05.2024 23:35:41";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983156.0995;2;0;64;79;;;;;;;;;"16.05.2024 23:35:45";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983167.4884;2;1;64;79;;;;;;;;;"16.05.2024 23:35:46";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983329.5255;2;0;64;79;;;;;;;;;"16.05.2024 23:36:00";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983503.3218;2;1;64;79;;;;;;;;;"16.05.2024 23:36:15";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983514.8958;2;0;64;79;;;;;;;;;"16.05.2024 23:36:16";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983618.8773;2;1;64;79;;;;;;;;;"16.05.2024 23:36:25";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983688.3218;2;0;64;79;;;;;;;;;"16.05.2024 23:36:31";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983723.044;2;1;64;79;;;;;;;;;"16.05.2024 23:36:34";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983757.9514;2;0;64;79;;;;;;;;;"16.05.2024 23:36:37";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983827.2106;2;1;64;79;;;;;;;;;"16.05.2024 23:36:43";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983838.7847;2;0;64;79;;;;;;;;;"16.05.2024 23:36:44";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
45428983919.8032;2;1;64;79;;;;;;;;;"16.05.2024 23:36:51";"Warnung Differenz der Zugspannungen zwischen Einlauf und Auslauf zu groﬂ";"AME"
