"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408574957.9745;2;0;64;35;;;;;;;;;"26.04.2024 13:47:56";"Warnung Temperatur Vorpumpe 1";"VM"
45408575015.8796;2;1;64;35;;;;;;;;;"26.04.2024 13:48:01";"Warnung Temperatur Vorpumpe 1";"VM"
45408575096.9097;2;0;64;35;;;;;;;;;"26.04.2024 13:48:08";"Warnung Temperatur Vorpumpe 1";"VM"
45408575235.787;2;1;64;35;;;;;;;;;"26.04.2024 13:48:20";"Warnung Temperatur Vorpumpe 1";"VM"
45408575247.3843;2;0;64;35;;;;;;;;;"26.04.2024 13:48:21";"Warnung Temperatur Vorpumpe 1";"VM"
45408575328.4375;2;1;64;35;;;;;;;;;"26.04.2024 13:48:28";"Warnung Temperatur Vorpumpe 1";"VM"
45408575339.8958;2;0;64;35;;;;;;;;;"26.04.2024 13:48:29";"Warnung Temperatur Vorpumpe 1";"VM"
45408575551.4352;2;1;64;78;;;;;;;;;"26.04.2024 13:48:48";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408575563.0671;2;0;64;78;;;;;;;;;"26.04.2024 13:48:49";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408577284.2824;2;1;64;35;;;;;;;;;"26.04.2024 13:51:17";"Warnung Temperatur Vorpumpe 1";"VM"
45408577318.9931;2;0;64;35;;;;;;;;;"26.04.2024 13:51:20";"Warnung Temperatur Vorpumpe 1";"VM"
45408577353.7269;2;1;64;35;;;;;;;;;"26.04.2024 13:51:23";"Warnung Temperatur Vorpumpe 1";"VM"
45408578039.8148;2;1;64;78;;;;;;;;;"26.04.2024 13:52:23";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408578074.456;2;0;64;78;;;;;;;;;"26.04.2024 13:52:26";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408578132.2917;2;1;64;78;;;;;;;;;"26.04.2024 13:52:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408578143.8657;2;0;64;78;;;;;;;;;"26.04.2024 13:52:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408578288.1597;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 13:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408578288.1597;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 13:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408584879.7801;2;1;64;78;;;;;;;;;"26.04.2024 14:02:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408584891.412;2;0;64;78;;;;;;;;;"26.04.2024 14:02:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408585232.6736;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408585232.6736;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408592177.1875;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408592177.1875;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408599121.8287;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408599121.8287;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408601684.6296;2;1;64;78;;;;;;;;;"26.04.2024 14:26:26";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408601707.8935;2;0;64;78;;;;;;;;;"26.04.2024 14:26:28";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408603316.7593;2;1;64;78;;;;;;;;;"26.04.2024 14:28:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408603351.2616;2;0;64;78;;;;;;;;;"26.04.2024 14:28:50";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408604473.9352;2;1;64;78;;;;;;;;;"26.04.2024 14:30:27";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408604485.5787;2;0;64;78;;;;;;;;;"26.04.2024 14:30:28";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408606066.3773;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:32:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408606066.3773;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:32:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408613010.9722;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:42:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408613010.9722;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:42:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408619955.4861;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 14:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408619955.4861;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 14:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408626899.9769;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408626899.9769;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
