Time_ms;MsgProc;StateAfter;MsgClass;MsgNumber;Var1;Var2;Var3;Var4;Var5;Var6;Var7;Var8;TimeString;MsgText;PLC
454.070.790.179.051;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 01:53;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
45.407.085.962.338;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:03;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
45.407.085.962.338;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:03;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.070.929.067.361;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:13;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.070.929.067.477;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:13;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.070.998.511.806;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:23;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.070.998.511.806;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:23;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.067.956.019;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:33;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.067.956.019;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:33;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.137.399.884;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:43;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.137.399.884;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:43;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.206.844.329;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 02:53;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.206.844.329;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 02:53;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
45.407.127.628.831;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:03;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
45.407.127.628.831;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:03;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.345.732.523;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:13;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.345.732.523;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:13;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.415.176.852;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:23;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.415.176.852;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:23;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.484.621.296;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:33;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.484.621.296;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:33;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.554.065.509;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:43;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.554.065.509;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:43;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.623.509.606;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 03:53;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
454.071.623.509.722;1;1;3;240000;WinCC Logging for Runtime Advanced;;;;;;;;25.04.2024 03:53;License Key nicht verfügbar! WinCC Logging for Runtime Advanced;
454.071.692.953.704;1;1;3;240000;WinCC Recipes for Runtime Advanced;;;;;;;;25.04.2024 04:03;License Key nicht verfügbar! WinCC Recipes for Runtime Advanced;
